,Tweet,Sentiment
695,yalahwy 3al zeta,angry
696,mafish haga esmaha keda,neutral
697,w law 3ayat dlwa2ty,negative
698,hwa eh da ya rogola,neutral
699,esma3o kalami ba2a,neutral
700,oltelkom ta3mo haye3gebko,positive
701,habebna ya rayyes walhy,love
702,w ba3den ba2a fel dehk dah,happy
703,ba3d eznek,neutral
704,el mofadala,positive
705,kfaya z3i2 ba2a,angry
706,msh 3aref et7ad el talaba malhom,negative
707,netfarag 3al lebs,neutral
708,ayez ahager,neutral
709,de msh dakhlet police,neutral
710,bafakar f haga,neutral
711,had ando fekra gdida,neutral
712,nerouh el malahi,positive
713,hat ya3am sandwich kaman,neutral
714,formet eh baa kemyet el shawerma el bakolha de,negative
715,yalla benaa halan,neutral
716,el wahed 3ayz yenzl yakhodlo laffa fel wekala,positive
717,rabena yogbor b khatrak,positive
718,habibi allah yetamenak yarab,positive
719,ba3d ezn el mohn 3ayz atlob,negative
720,ba3d ezn el koleya ehna msh lah2en ne3esh,negative
721,nadafo el haga warako,neutral
722,lma a2ol nbatal hanbatal,neutral
723,sabab el mashakel yom el gom3a,negative
724,mertah nafseyan,happy
725,sibo el wahed yembeset,negative
726,el wahed ayez yefarfesh,positive
727,oul nokta tania,positive
728,kfaya nam,angry
729,ya3am allah yerda 3annak sebni,angry
730,fekra hayla el gary el sobh da,positive
731,ashtar had a3rafo,positive
732,rabena ywafa2 el gami3,positive
733,alf hamdellah 3al salama,positive
734,tb wel 5 kilo kofta eh el nezam,neutral
735,lw kont mohtam kont 3erfet lwahdak,negative
736,harfyan aham wahda,love
737,omi masali el a3la,love
738,3ashan tertah ba3dein,neutral
739,yarab efregha,positive
740,yarab ektebo 3alena,positive
741,deh maddet eh deh,neutral
742,hatla2ehom gamdin walhy,positive
743,lw el coursework bta3ek helw,neutral
744,fetert w etghadeit,neutral
745,3ayz adrab feteer bel 3asal wel eshta,neutral
746,hwa 3amal eh,neutral
747,hwa fe event fel ahramat el yomen dol,neutral
748,neshaga3 ba3d,positive
749,hwa eh el so2al el ghaby dah,negative
750,shokran 3ala ta3abek ma3aya,positive
751,lma teb2a lesa sahy wel nas bal3a radio 3al sobh,angry
752,ya3ne homa el zakro affelo yaany sabah el fol,negative
753,aham haga rahet el bal,positive
754,eh el 3azama dih bas,positive
755,alby ma3akomm,positive
756,msh ma32ol baad el mozakra dih kolha,negative
757,msh ader 3al malal dah,bored
758,hageb essam sasa fe farahy,happy
759,yemken hayghannelek wla haga,neutral
760,hahahahah laziz el hwar,positive
761,hya weslet le kda,neutral
762,bgd el maradi,neutral
763,yekhtay ala handaset el kahera,negative
764,hahahahah hamout,happy
765,akheran hass bel tabaqa el motawaseta,positive
766,wel donia mashya 3aksy laffet w mshet m3aha,neutral
767,ha2olo yigi ma3ana,neutral
768,ta3amol b borood maa el nas el 3asabeya she2 momte3,positive
769,matsalemsh 3aleih,negative
770,eih el genan dah,angry
771,yarab ana msh 3ayz akaml ta3lem,negative
772,kol m akolha aftekrek,positive
773,msh 3arf afham el madda,negative
774,ya gada3 mat2olsh kda,neutral
775,ebtadena tany,neutral
776,tmam helwa el fekra,positive
777,msh hanekhlas shaklena keda,negative
778,lessaa badri gidan,neutral
779,yalhwy 3al araf el ana fih,negative
780,mafish haga mestahla el za3al,positive
781,farfeshi shwaya,positive
782,el gaw dah mehtag hagz kora,positive
783,wehna bnmtehen el nour ata3,negative
784,lala allah yekhalekom,positive
785,la dante rabena maake baa,positive
786,3andek eh bokra,neutral
787,3eyounak elly helwa,love
788,shehadet el zor haga w tazweer wara2 haga tanya khales,neutral
789,msh haymot ebn el mahzoza,positive
790,rabena yekatar men amsalak,positive
791,3omri m embasat keda f eidmiladi,happy
792,el wahed byakhod mawad gher adameya walhy,negative
793,enta gai el nahrda wla hatsawahni lwahde zay el marra el fatet,negative
794,khadtohom,neutral
795,fe arabeya we2e3 menha hagat,negative
796,mabrouk 3al takharog,positive
797,takhayl tekhaf men el hagm dah,neutral
798,2ol ya fannan,neutral
799,el ba3mlo dah habal msh mozakra walhy,negative
800,abda2 mnen wala mnen,neutral
801,el emthan dah mehtag mo3geza,negative
802,akhbar ktir,neutral
803,kfaya emthanat ba2a ana zeh2t,negative
804,msh ader amsek nafsi men el dehk,happy
805,yalhwy 3al araf el ana fih,negative
806,tanmeya bashareya,neutral
807,hya el 9 deh harf eh,neutral
808,eh 3elaket el nozol bel vaccine,neutral
809,rabena yesabetek,positive
810,allah yesamehko 3ala el kalam dah,negative
811,el wahed metbahdel gamed el yomen dol,negative
812,msh gai taba3 haga,neutral
813,hay3ml hafla,positive
814,hwa men 2al en hwa gai masr,neutral
815,el 3omr mogarad rakam bensbaly,neutral
816,bey2oul ahsan kalam,positive
817,fekra hayla habetha,love
818,el wahed nfso yeshtaghal,negative
819,omi dayman beykoun 3andaha ha2,positive
820,dah eih el gamal dah,positive
821,mana olt keda men el awel,neutral
822,la fokek shaklek meday2a,negative
823,warake talween wla eh,neutral
824,hya eh el logha el maktob beha deh asasan,neutral
825,fekra helwa bs matnf3sh 7 pm,positive
826,mashoftesh mosalsal agmad meno,positive
827,ba3sha2 film el 3alamy,love
828,darben ba3d bel gezam,negative
829,leh el zolm dah,negative
830,bokra el ayam tesbetlak,neutral
831,el matshofsh mno wehesh matsada2sh kalam el nas 3aleh,positive
832,hazin 3ala el 3eshra,negative
833,danta gharib awi walhy,angry
834,eh el ka2en el gharib dah,neutral
835,bgd el 3eila haga mohema awi,positive
836,gedeiti a3zam ensana,love
837,shoufo bas w msh hatendam,positive
838,el video dah bemawetni men el dehk,happy
839,nadman awi eni marohtesh,negative
840,sada2teni ba2a,neutral
841,bos edkhol kda ala el starred messages w hatmot mn el dehk,happy
842,la bs kan nefsy,negative
843,ayza demaghi tesatarayah,negative
844,mehtag flous ktir,neutral
845,matshelsh ham haga,positive
846,rabena yewafa2ak fel mawdou3 dah,positive
847,ezay takhod ha2ak mn doctor gam3a,angry
848,dah lw 3eshna le 13 dec,negative
849,nenhar kolna fel weekend ba2a,negative
850,tel3et helwa zay m oltelak ha,positive
851,surat yusuf sot mashary rashed aktur haga moriha fel hayah,positive
852,eh lazmet el weekend law htfdalo tedoona assigments,negative
853,f3lan el flos msh kol haga,neutral
854,da ehna fe mo3anah walhy,negative
855,helm hayate adkhol el emthan b calculator,neutral
856,w ba3den ba2a fel a3da dih,negative
857,hahhahaha ana mwafe2 3al kalam el helw dah,happy
858,danta el flos ghayaretak,negative
859,hwa sanya enta fateh ezay dlwa2ty,neutral
860,motakhayel mn 2016 w lesa mafish haga gdida,negative
861,el wahed 3ayz yanhar bs mafesh wa2t,negative
862,el ensan mehtag safareya le siwa,neutral
863,el drasa fe masr mn aktarr el hagat el mot3eba nafseyan walhy,negative
864,msh 3arf astaw3eb en el calculator mamno3a fel emthan,negative
865,yalla nwadab safareya helwa,positive
866,dah shaklo match momel,bored
867,medhat shalaby dah sa3b,negative
868,3ayzin neraga3 el ayam el helwa,positive
869,shaklo daye3 khalis,negative
870,walhy el mohandsen nafsohom msh 3arfen homa by3mlo eih,negative
871,oly min msh f handasa,neutral
872,el oghneya kolha te2ref walhy,negative
873,ha3melak ahla eidmilad,positive
874,karawan,neutral
875,rabena yes3edek f hayatek,positive
876,msh lazm tb2a fake kda ashan yehebok,negative
877,men nagah l nagah ya habibi,positive
878,mawdo3 gamed awe lma yb2o nas gad3a,positive
879,enta el shik bta3ak fih kam ba2a bel sala 3al naby,neutral
880,ya3am w 3ahd allah rayeh bs shwaya,angry
881,mahadesh fo2 el qanon ya basha,positive
882,hwa ana mehtag rokhsa wla eih,neutral
883,el rokhsa da3et ghaleban,negative
884,enta rayeh fen el nahrda,neutral
885,laa bleel msh dlwaty,neutral
886,lala kfaya drama allah yekhaleky,negative
887,ya3am ana msh meday2 hwa weshy kda,negative
888,aslak w atyab wahda keda keda,positive
889,tashgee3 el nas w homa fe awel tare2ohm ahsan,positive
890,lw 3eshna lel gai ba2a,negative
891,msh haynfa3 akaml fel mahzala dih,negative
892,el semester dah lazm yentehy dlwa2ty,negative
893,ana mota2akeda enak hateksab,positive
894,min elly gayin ma3ana,neutral
895,sobhan m ghayar el ahwal,neutral
896,kol el edert astantego ba3d el lecture deh en ana fe warta walhy,negative
897,aktar wahed gada3 abelto f hayaty,positive
898,enta msh olayel bardo,positive
899,byor2os ma3 sohabo,happy
900,el oghneya dih bel zat gamda awy,positive
901,kharbana mn kol hetta bs ana raye2,positive
902,sahi faye2,positive
903,wa2fin mestanyino,neutral
904,dah sabah el fol walhy,happy
905,2ali nerouh el safareya nembeset shwaya,happy
906,mahadesh 3agbo halo,negative
907,hwa kolo khareg yeshtem fiha kda leh,angry
908,zah2an zaha2 gharib,bored
909,msh fahem 3ayzin yewsalo l eih,neutral
910,ahla akla men 2id omi,positive
911,momken nerouh nel3ab hatkoun laziza,positive
912,eh yasta lebs el 3afarit elly enta labso dah,negative
913,yalla nakol burger,neutral
914,lama tartabeto 9 senen w ba3den yesibek,negative
915,dah yomi el mofadal,love
916,hahahhaah ahla ayam tofolti,happy
917,do2ha bas w ed3ili,positive
918,ely 3ala group el dof3a bymoto fe nashr el esha3at,negative
919,kont baheb al3ab el le3ba dih awi,love
920,w ba3den fel term el shaghal ma3 nafso dah,negative
921,el moshkla en kararati el ghabeya deh akhadtaha ba3d tafker tawel,negative
922,harfyan ahla khorouga kharagnaha,happy
923,baheb el safar awi,love
924,kol m afteker el safareya a3od adhak,positive
925,naharak abyad,positive
926,ya sheikh,neutral
927,momken nerouh el nadi 3amatan,neutral
928,ana msh 3ayz ala2 hna,negative
929,bazha2 lama ba3od ktir fel beit,bored
930,ahla fetar dah wala eih,positive
931,wala yehemak el mohem testafad,positive
932,3atah,negative
933,rabena yetawel f omrek w yekhaliki lina,love
934,yasater,negative
935,el wahed b2a byzoor el beet w yerga3 el kolya yekaml hayato,negative
936,bakrah el raghy bgd,angry
937,ana asef le ay beyt3amell ma3aya fe el gam3a,negative
938,lma a3od maa atfal el 3eila bab2a 3ayez amawet nafsi,negative
939,el doctor 3amel doctora fe kol el fields el fel hayah,positive
940,ahsan gam3a fel tarikh,positive
941,ba3d ezn el mohn bs 3ayz asma3 el lecture,angry
942,el slides deh mashro3 fashel,negative
943,dabbor w zan 3la kharab 3esho,negative
944,el shanta gambek,neutral
945,3ayz akon 3adim el ehsas,negative
946,hwa mafesh fostan asasan,neutral
947,eh el nodg dah kolo,positive
948,gharama 500 geneh dah el as3ar walla3et,negative
949,haksar el hala2a bokra fel match inshallah,negative
950,msh 3eb wahed fe sennak yakol astika,negative
951,kfaya drama ba2a allah yekhaleki,angry
952,ekhtaf wegry,neutral
953,khalas kda tawakalna 3ala allah,positive
954,3ayzin nelghi ehsas el tawator,positive
955,dana hageblak kol el akl elly enta 3ayzo,positive
956,ma2a3atesh ma3 nas ro7hom helwa bel manzar dah abl kda,positive
957,hwa ehna eih el 3elaka entahet,negative
958,el maby3rfsh ywsal le haga bytarya2 3aleha,neutral
959,habibi etsawarly fel gym hamot w ashofak btetmaran,love
960,amar f kol ahwalek,positive
961,shaklek 3amla mosiba,negative
962,msh na2sa waga3 alb,negative
963,helwa el soura el hatetiha,positive
964,helw awe el hagat el hateftah henak dih,positive
965,el aghani sotha 3ali awi msh aref anam,angry
966,el homom btektar ma3 2orb el gam3a,negative
967,dah emta el karar dah,neutral
968,hasal kheir yalla nerouh,positive
969,lesa marge3sh rah salla,neutral
970,eh el talawos dah,negative
971,gaylek halan estanini,neutral
972,bakrah el ensan el zannan,angry
973,w malo,neutral
974,elhamdullah 3ala kol she2,positive
975,ya sheikha,neutral
976,habeb alb el banat,positive
977,bsraha ya3ni el gym hwa hal ay haga,positive
978,eshm3na faweit dah,neutral
979,byfakarni bik,neutral
980,dah enta keda tamam awi,positive
981,dakhla film eih,neutral
982,tab3an hagi bokra inshallah,neutral
983,w ba3den khaliki fel cinema date bta3ek lw samahti,neutral
984,yah 3ala dih shoghlana,negative
985,el msh hayakhod el vaccine msh haydkhol el gam3a,neutral
986,safarouni bgd zehe2t men el a3da fel beit,bored
987,msh hatla2e zaye ya sheikha allah yehra2ek ente wel zayek,angry
988,eshta ya me3alem,neutral
989,wow amar,positive
990,kan bayen awi 3amtan eno msh ala ba3do,negative
991,msh ader gebt akhri,negative
992,ehna nekhreglak film n3ayeshak fe dor el daheya el enta fih dah,negative
993,el semester el fat dah kan karsa walhy,negative
994,ya gada3 2ol msh bakol eh,neutral
995,betehsal,neutral
996,el etneen mashy,neutral
997,hwa labs hezam nasef wla eh,negative
998,khalas ha3adi 3alek ha2om albes aho,neutral
999,la dih albaha mayet khales,negative
1000,w tab3an aktar 3asir bahebo,love
1001,el saraha el zyada bte2leb ma3 el nas elet zo2 walahi,negative
1002,msh ader 3al malal dah,bored
1003,el wahed me2adeha mute lel nas ala instagram,negative
1004,3ayzen nekhalas el match,neutral
1005,lma tetesel bik rod,neutral
1006,lhad dlwaty msh mestaw3eb el talab,angry
1007,hahahahahha khalas nelghiha,positive
1008,kol dah ashan 3amalna mo3ahdet salam ya3ni,angry
1009,kol mosalsal lazm yb2a fih episode el wahed 3omro byensaha toul hayato,positive
1010,mostawako b2a fel nazel khales ya shabab walhy,negative
1011,ana rayeh,neutral
1012,danta 3aysh fel mahalabeya walhy,negative
1013,eih el halawa dih tohfa,love
1014,hahahahha eh ra2iek ba2a,happy
1015,tmam shokrann,positive
1016,walahi lw el deen 2al eno haram fa efham en ra2iak msh mohem,angry
1017,el wahed bytkhad mn kelmet rob3 million aktarr mn 250 alf,negative
1018,shabab twitter lma byefto ba2a,negative
1019,el yemshy warak yendam,negative
1020,la msh el fe dmaghak,neutral
1021,mayedelosh el ha2 eno yermy kalam kda zay manti bt2oli,angry
1022,ana dmaghi mehtaga mohallel nafsi haleyan,negative
1023,nasini leih,negative
1024,hadafha enena nefrah w nrayah ba3d w nesahhel el hayah 3la ba3d,positive
1025,fady adra haga zay dih malnash da3wa ehna,neutral
1026,matehmad ba2a yabni enta,angry
1027,min beyetkalem ma3aya,neutral
1028,dih bashe3a,negative
1029,yalhwy 3al araf el ehna fih,angry
1030,msh lazm ne3alli ala baad w nshof men mashaklo as3ab,negative
1031,haiedrabha wala eih,negative
1032,el walad we2e3 mn fo2 el hosan,negative
1033,sabah el tazwir,negative
1034,ya3am ana msh meday2 hwa weshy kda,angry
1035,el wahed zehe2 men el 3isha,bored
1036,la enta haltak may2os mnha khales,negative
1037,el da3awat estagabet,happy
1038,eih el hozn dah,negative
1039,amin yarab,positive
1040,hatmasha 3al nile w hatla3 anam,neutral
1041,roho sallo el fagr,neutral
1042,el khorog ma3 el nas el btrawa7 badri dih haga momela,negative
1043,ana kreht el shoghlana dih,angry
1044,el wahed hases eno haythesher fel kolya dih rabena yostor,negative
1045,akhoki agnabi wala eh,neutral
1046,fayto shwayet e3trafat nareya,negative
1047,el sho3or bel araf aswa2 meet marra mn el korh,negative
1048,ah walhy kalamak meya meya,positive
1049,el wahed za3lan walhy ala el foras el bydiha lel nas w bydaya3oha,negative
1050,la el tweet deh liha hya bs msh ento,neutral
1051,ana 3ayz afham homa leih moserin y3asabo el wahed,angry
1052,hahahha ahla nokta seme3taha,happy
1053,ahla haga lama tedkhol el beit w tla2i aklak el mofadal,happy
1054,konbelet 3enad,negative
1055,yekhrbet halawtek,positive
1056,share3 el tes3en fadi,neutral
1057,eh el ekhteyarat el ghalat dih,negative
1058,eih el enta rayeh takhdo dah,neutral
1059,feh raha nafseya dakhalt ala el wahed lma batal yeftah instagram,happy
1060,aktar mosalsal bahebo 3azim,love
1061,kont masali el a3la w khalas enhart ya safah el underage,negative
1062,akher marra aroh ma3 tefl byakhod ho2na haga tehra2 el dam,angry
1063,shaklha hatb2a haga mosaleya,happy
1064,ana bala2i nas ma3rfhomsh asasan afshin meni,negative
1065,leh mayes2alosh el ensan abl yetweled hwa 3ayz yetweled wla la,neutral
1066,ah hasbya allah,angry
1067,estanne ente alaya bs,neutral
1068,ente 3amla mashakel,negative
1069,el wahed msh 3arf yela2eha mnen wla mnen,negative
1070,sababek aslun,neutral
1071,ente teskote khales,angry
1072,la msh hathammel mas2oleyet,neutral
1073,3ayz anhar bs feh quiz lesa,negative
1074,3ayz asib el ta3lem,negative
1075,kfaya gam3a,negative
1076,walhy fe nas shayfak wehesh ashan getlha doghry,negative
1077,hya men ana ma3rfsh,neutral
1078,tehebeny mathebenesh de haga terga3lek,neutral
1079,ehrabe,negative
1080,bakrah el zan,negative
1081,elhamdulah et3afeet mn el mood swings w ba2et mood 24 sa3a,happy
1082,ana msh 3arf walhy ento ezay btwaf2o tsebo el ashkal de fe hayatkom,angry
1083,ebn khalte byakol roz laban w dala2 aleh molokheya w mostamte3,neutral
1084,el 3yal el soghayara dol byaklo akl 3ageb oksm belah,negative
1085,edrab ya sheikhna,negative
1086,matkhallasne fe yomak da,angry
1087,el ragel bta3 el icecream faker nafso saher ta2reban,negative
1088,alarm iphone da haygebly sakta albeya walhy,negative
1089,enta zay el fol ya bro,positive
1090,wegz makansh asdo yb2a deep lel daragde lma alha,neutral
1091,msh tabi3yin a3den yetkhan2o maa nas tanya ala oghneya,negative
1092,clip helw oghneya saye2a,neutral
1093,yaretak nazzelt el oghneya,neutral
1094,w layla,neutral
1095,esm nazly da gamil b tare2a eh da,positive
1096,msh 3arf afham,negative
1097,yalahwy 3al araf el ana feh,angry
1098,quantum mechanics de 3ageba,negative
1099,hewar gai fel tare2,negative
1100,ehna shabab fadya bnheb el hals,neutral
1101,esmo eh,neutral
1102,opa,neutral
1103,pfp tohfa,positive
1104,khalsana hage taster,neutral
1105,3ayz aroh afghanstan,neutral
1106,eftah restaurant,neutral
1107,akeltohom eh,neutral
1108,ya nasy wa3dak wa3dak lya,negative
1109,masabosh baad aho,neutral
1110,baheb support el nas el ma3rfhash,love
1111,msh 3arf afrahlo wla az3al eno hayemshy,neutral
1112,ashab ana wenta wla,neutral
1113,da 3ayel sakhif,negative
1114,ana bahesso byzellena ashan yenazl aghane,angry
1115,khena2at el chat deh byksab feha el byktb asra3 msh el maah el ha2,negative
1116,el sraha de 3yon msh mehtaga tesherly,positive
1117,sahby mafesh bashar gherna,neutral
1118,khalas yasta kfaya,neutral
1119,3ayz ageblokom lemon terawa2o badal manto sokhnen ala baad kda,positive
1120,kan mn sohabe baa,negative
1121,elhamdulah 3rft men el fe sohabe l bytala3 kalam barra,happy
1122,3ayzen nezabat yom nenhar feh maa baad b2a,negative
1123,ehna ne normalize ay haga ente 3ayzaha ya amar matz3alesh nafsek,positive
1124,ba3ml nafse msh wakhed bale ashan msh 3ayz akhsar,negative
1125,ghareb awe lon 3enek el tabe3y el bytghayar kol yom da,negative
1126,shawa2na aktur shawa2na,happy
1127,hwa fe eh 3al sobh,angry
1128,hahahahah gamed,happy
1129,hwa mafesh ahla mnha asasan,positive
1130,mn el hagat el btkhale dmaghe t3ml error,negative
1131,matb2ash sakhif w to3od tezen hwa msh 3ayz,negative
1132,w 3yon msh mehtaga tesherly,neutral
1133,el taghyer helw,positive
1134,3ayz aftah mahal shawerma,neutral
1135,zolm,negative
1136,tafaham tyb,angry
1137,msh kfaya amr diab,negative
1138,yalahwy 3al hekam,positive
1139,hozn badre awe el nahrda,negative
1140,3omr m had 3asabni keda bgd,angry
1141,habebty ya zeino,love
1142,hwa ghaleban ente msh fahma el tweet,neutral
1143,aktur wahda ana shayfha amar fel hayah ana aktur wahd hya mabete2hosh,negative
1144,ehna gayen el hayah net3allem,neutral
1145,ehsasek ghalat,negative
1146,el wahd baa raye2 kda mn gher hewarat kter,happy
1147,sabah el tafa2ol walhy,happy
1148,ehky le hany,neutral
1149,zeino btehky details tare2a tohfa,positive
1150,3ayz a3mel haga fel malal dah,bored
1151,3adad el nas el bakalmhom el fatra de maykamelosh talata walhy,negative
1152,m el gambo da kan yesa3do yaany dah eih dah,angry
1153,banat ukraine eh yasta msh lma bto3 baladak ye3abarok el awel,negative
1154,mahe msh haga tabe3ya afdal ga3an baad kol el akl da,angry
1155,ma3lsh taale ala nafsek,neutral
1156,da3et heibet el haz,negative
1157,el admin masry wla eh,neutral
1158,fe 2020 bardu kona a3den ne2ol la el corona ba3eda 3an masr,negative
1159,f kemet sa3adti enaharda,happy
1160,hatakhde agaza mafesh derasa,neutral
1161,la mafesh homa dol bs,neutral
1162,ne2abelhom fel akhra ba2a,negative
1163,msh ader,negative
1164,yalla baheb awi arouh henak,love
1165,haga teksef walhy ad eh el 3alam kolo motakadem,angry
1166,mehtag anzl maa sohabe el metefe2 maahom ba2ale sana abl el 3alam yentehy,negative
1167,ehna weselna lel marhala de khalas,neutral
1168,ya3eeny ukraine btede3ek dlwaty,negative
1169,takhayal to3od tethayel ala ashan ye2olak hwa meday2 leh,negative
1170,ha2olak ana ala mabda2 helw ay tela2eh metghayar maak mn gher sabab seebo,negative
1171,msh 3arfa at3amel met3asaba haleyan,angry
1172,el nas byb2o dakhlen yet3amlo maak enak temporary fe hayathom,negative
1173,ba3sha2 el oghneya de,love
1174,ashan kda ur followers aktur mn ur following,neutral
1175,mo3afra ashan eh bs battalnaha khalas ana msh dakhel harb,negative
1176,rohe el gam3a,neutral
1177,namee ya masa,neutral
1178,mahadesh 3ando fekra tesalini,bored
1179,ana mota2akeda eni bahebaho,love
1180,data structure de ghareba gdan,negative
1181,oksem belah m3anadish aghla meno,love
1182,msh ader 2ereft,negative
1183,harfyan begad,neutral
1184,3ayz application y3arafny el bytesel 3ayz eh mn abl arod,negative
1185,kefaya el tary2a bet3asabni,angry
1186,el doctor da toxic,negative
1187,ana ba2ol kda bardu,positive
1188,baheb el manzar dah awi,love
1189,sho3or sa3b gdan ya3eeny,negative
1190,hanebda2 seyah badre kda,negative
1191,da msh gadwal lectures da gadwal eqama fel koleya,negative
1192,harfyn bahes nafse azka wahed,positive
1193,helm hayate aroh el gam3a faye2,negative
1194,heya kol el nas zah2ana zayi wala ana bas,bored
1195,3adad el sa3at el banamo da gher ensany,negative
1196,3eib ba2a,neutral
1197,hahahahahahha helwa mnakk,positive
1198,eh el oghneya el tohfa de msh ha2olha lhad,positive
1199,el banat btheb el doghry,love
1200,beykhalini as3ad wahda,happy
1201,eh el mahzala de,negative
1202,lesa bn2ol besmellah rah ayelak quiz,negative
1203,eh el flashbacks  de,neutral
1204,ba2olak eh ba2a msh hanenhar mn abl el term yebda2 yaany,negative
1205,ba3sha2 film la tarago3 wla esteslam,love
1206,brahtek ana kda kda hatgawezek fel akher,positive
1207,rabena 3alem b ma3azetek andi,love
1208,w ba3den el gaw wehesh el yomen dol hanroh el gam3a ezay,negative
1209,w m3ana masa aktur wahda btseeh mn el gam3a asasan,negative
1210,nefse atkharrag w ashof el hayah 3amla ezay mn gher mozakra,negative
1211,el ta3lem da mashro3 fashel,negative
1212,khaf mn el neyeto msh bayna,negative
1213,de fel gouna sah,neutral
1214,haflet men,neutral
1215,kitkat el bel cinnabon de el mofadala beta3ti,love
1216,haga tefreh msfish ahla men keda walhy,happy
1217,zero dehk,negative
1218,3andy gam3a bokra,neutral
1219,manzar yedaye2 w y3asab el wahed 3al sobh,angry
1220,la fokek da gamda,positive
1221,ghaleban masha3er el odamak aham mn enak tehrego,negative
1222,mabyhsalsh m3ana leh el kalam da,negative
1223,el hayah de ghareba gdan walhy,negative
1224,hagat kter awe makantsh mehtaga kol el ehtmam da w hagat tanya ahmaltaha,negative
1225,el wahed lw rege3 beh el zaman 10 senen maslan mehtag yesalah hagat kter,negative
1226,matgesh mnak enta ya sahby,negative
1227,hatir men el farha ya gama3a,happy
1228,ahla khabar semet3o f hayaty,happy
1229,3ayz ahke lhad mashakle w ba3den a2telo,negative
1230,ehna sohab mn el nahrda,positive
1231,eh ya gma3a fe ehh,angry
1232,leh bs,negative
1233,kol wahd 3ayz friend mo3ayan,neutral
1234,ala hasab rayeh fen,neutral
1235,el battery health de bada2et tenarfezny,angry
1236,takhayl lw kol wahd khallah fe halo,angry
1237,mafehash noom fel leila de,negative
1238,allah yerham el bbm kona bn3ml ping,negative
1239,ana a3raf nas za3lanen mny ala el 3amaloh maaya,negative
1240,khosaret el calories,negative
1241,wimpy ta3ban awi,negative
1242,mesh ayez ashoufek tani,negative
1243,el zodiac signs ta3bako fe dmaghko shwya,negative
1244,bahdar concerts,happy
1245,shaklaha bedaya mobashera,positive
1246,ana msh gahez lel semester el haybda2 maa nafso da,negative
1247,ana leh msh fe italy dlwa2ty,negative
1248,modheken awe el nas el bye2ta3o maak fag2a,negative
1249,akl el 3eesh morr,negative
1250,ya tara mamsok 3aleh eh ashan yenam el nooma de,negative
1251,3ayzenha live ya fannan,happy
1252,hasal,neutral
1253,ana ala akhry mode,angry
1254,ahlek msh hassen bel ne3ma el 3andohom,negative
1255,yadi habalak,angry
1256,ahla makarona bashamel fetert beha,love
1257,80 mn el by2olo ahh lw ethatto fel mawqef msh hay3rafo yekhtaro 3amtan,negative
1258,da eh dah,neutral
1259,baghani men elsobh,happy
1260,aked mn sohabek,neutral
1261,leh yaany enta mosamem t3asabni,angry
1262,mawqef sa3b awi,negative
1263,atamana tt3arafy ala wahed mohtaram,positive
1264,we2eft 10 mins maa alman kerehtehom el 3omr kolo,negative
1265,mnek,neutral
1266,yarab nekhlas,negative
1267,ente etnaseiti khalas kda,negative
1268,la gamdaa,positive
1269,mabroook,happy
1270,ba3d ezn el avwara 3ayz atlob el akl,negative
1271,tb lw msh haga fe dol,neutral
1272,matetarya2sh aleh baa ashan mathassalosh,negative
1273,akher hetta bamout dehk menha,happy
1274,ostor yarab,negative
1275,ana bahtafel b engazati,happy
1276,nefse fe mesa2a3a bel bashamel wel lahma el mafroma,positive
1277,msh wa2to el nahrda khales,negative
1278,kda msh 3ayez t2oli,negative
1279,efkesy w rohe kole shawerma,neutral
1280,ana ra2ie en enta el ahla w nos,positive
1281,ana msh metabe3 walhy fa msh 3arf,neutral
1282,3ayez had yefarfesh maaya,happy
1283,lebesti eih enaharda,neutral
1284,malko magrohen kda leh,negative
1285,wa2t monaseb gdan lel embesat,happy
1286,shoft ghaffeltouni ezai,negative
1287,msh wa2t emojis khaless,negative
1288,msh hayb2a mafesh hob wla akl ya3ny,negative
1289,ahla haga fel yom en kol mahalat el akl wel chocolates 3amla offers,happy
1290,ana wente zah2anin keda leih,bored
1291,el byhsal da mesh tabi3i tab3un,negative
1292,matetfaragosh 3al film da ashan wehesh,negative
1293,barkouli afelt el emtahan,happy
1294,3amel hafla lel nas el single bokra,positive
1295,dih ahla nemra gebtaha f hayaty,happy
1296,baheb el ward awi,love
1297,hya mabada2etsh ashan tentehy,neutral
1298,haygili el daght b sababak,angry
1299,ha2oum azaker,neutral
1300,allah dante shatra aho,positive
1301,habeby ya 3ashe2,love
1302,baheb awi el a3da dih,love
1303,es2ale el fanan amr diab,neutral
1304,la ezay ana masdoum,negative
1305,baheb atfarag 3aleih ahla film,love
1306,bagi el madrasa 3ashanek,positive
1307,hatesel bik,neutral
1308,ana basek fihom awi,positive
1309,hazi helw awi enaharda elhamdullah,happy
1310,medaye2 3ashan marahsh,negative
1311,ya akhy kfaya talabat mat3asabnish,angry
1312,eh el sohola de,positive
1313,el regala lma tehabel,negative
1314,tohfaa shatra awi,positive
1315,zah2an w msh 3aref a3mel eih,bored
1316,mana kan asde kda,neutral
1317,khalleena nenbeset,happy
1318,haflet amr diab kant tohfaa ghanna aghane adema bss,happy
1319,la de oghneya,neutral
1320,3ayz atgawz wahda maghrebeyya,neutral
1321,bokra hanahtafel w nembeset,happy
1322,kan nefse akhodha date fel valentine bs sahebha afil w msh haywafe2,negative
1323,shokran,positive
1324,tohfaaa,positive
1325,de msh tal3a bel kheel fel ahramat de ghazwa walhy,negative
1326,moserin enohom y3asabouni walahi,angry
